Datetime,Close,High,Low,Open,Volume
2025-01-06 09:30:00-05:00,181.02000427246094,182.5500030517578,176.64999389648438,182.5,1854660
2025-01-06 11:30:00-05:00,180.0500030517578,182.49000549316406,179.81080627441406,182.10000610351562,594094
2025-01-06 13:30:00-05:00,178.07000732421875,178.83999633789062,177.42999267578125,178.66000366210938,644941
2025-01-06 15:30:00-05:00,179.4600067138672,179.5399932861328,178.17999267578125,178.2100067138672,790168
2025-01-07 09:30:00-05:00,175.6199951171875,178.1699981689453,174.4600067138672,177.58999633789062,1838719
2025-01-07 11:30:00-05:00,174.36000061035156,179.5,174.05999755859375,174.75,528130
2025-01-07 13:30:00-05:00,175.78500366210938,175.7967071533203,174.8800048828125,175.60459899902344,431290
2025-01-07 15:30:00-05:00,175.5,175.85000610351562,174.97000122070312,175.39999389648438,687956
2025-01-08 09:30:00-05:00,167.9499969482422,170.7899932861328,167.54200744628906,169.3800048828125,2997120
2025-01-08 11:30:00-05:00,167.83999633789062,170.25,167.7899932861328,169.625,993848
2025-01-08 13:30:00-05:00,171.36749267578125,171.72450256347656,169.92999267578125,170.57000732421875,1015603
2025-01-08 15:30:00-05:00,172.8300018310547,173.02999877929688,171.60850524902344,172.41000366210938,1328873
2025-01-10 09:30:00-05:00,173.88999938964844,175.24000549316406,171.30999755859375,171.9949951171875,1295818
2025-01-10 11:30:00-05:00,172.07000732421875,172.85499572753906,171.3300018310547,172.6199951171875,553168
2025-01-10 13:30:00-05:00,173.6999969482422,174.2899932861328,173.15499877929688,173.6300048828125,508422
2025-01-10 15:30:00-05:00,173.4199981689453,173.5399932861328,172.83009338378906,173.24000549316406,833863
2025-01-13 09:30:00-05:00,167.72999572753906,170.52980041503906,167.1916961669922,169.77000427246094,1322125
2025-01-13 11:30:00-05:00,167.3000030517578,167.63209533691406,166.2100067138672,166.83999633789062,710048
2025-01-13 13:30:00-05:00,166.91000366210938,167.3000030517578,166.298095703125,167.08999633789062,1251926
2025-01-13 15:30:00-05:00,167.80999755859375,168.08999633789062,166.97000122070312,167.4199981689453,1090176
2025-01-14 09:30:00-05:00,168.7449951171875,169.8350067138672,166.39999389648438,166.94000244140625,1152582
2025-01-14 11:30:00-05:00,168.7050018310547,169.2548065185547,167.85000610351562,169.1092071533203,336076
2025-01-14 13:30:00-05:00,169.58999633789062,169.77720642089844,168.52999877929688,168.6699981689453,303076
2025-01-14 15:30:00-05:00,170.63999938964844,170.66000366210938,169.38999938964844,169.83999633789062,624307
2025-01-15 09:30:00-05:00,175.19000244140625,175.32000732421875,172.7899932861328,173.3300018310547,1055976
2025-01-15 11:30:00-05:00,174.86000061035156,175.27999877929688,174.35000610351562,175.14999389648438,803222
2025-01-15 13:30:00-05:00,173.86000061035156,174.0500030517578,173.3800048828125,173.9499969482422,410392
2025-01-15 15:30:00-05:00,174.25999450683594,174.57659912109375,173.33999633789062,174.52000427246094,1365875
2025-01-16 09:30:00-05:00,175.32850646972656,175.58999633789062,173.5800018310547,174.75,860856
