Datetime,Close,High,Low,Open,Volume
2025-01-06 09:30:00-05:00,245.5500030517578,246.1826934814453,243.83999633789062,244.3300018310547,10577599
2025-01-06 11:30:00-05:00,245.77000427246094,246.76100158691406,245.7012939453125,246.7550048828125,3354093
2025-01-06 13:30:00-05:00,244.97999572753906,245.17999267578125,244.60000610351562,245.02999877929688,2065770
2025-01-06 15:30:00-05:00,245.0,245.33999633789062,244.4199981689453,244.91000366210938,3773029
2025-01-07 09:30:00-05:00,245.38890075683594,245.5500030517578,242.8300018310547,242.97999572753906,8173530
2025-01-07 11:30:00-05:00,242.38999938964844,245.0,242.13819885253906,243.74000549316406,4446679
2025-01-07 13:30:00-05:00,242.45799255371094,243.17999267578125,242.07009887695312,243.14999389648438,2577768
2025-01-07 15:30:00-05:00,242.19000244140625,242.40499877929688,241.53900146484375,242.02000427246094,4772501
2025-01-08 09:30:00-05:00,242.40989685058594,242.86549377441406,240.0500030517578,241.97000122070312,7170550
2025-01-08 11:30:00-05:00,241.3699951171875,243.5800018310547,241.24000549316406,242.72610473632812,3009958
2025-01-08 13:30:00-05:00,242.7949981689453,242.97999572753906,241.04400634765625,242.35000610351562,2761227
2025-01-08 15:30:00-05:00,242.72000122070312,242.98699951171875,241.8000030517578,242.3800048828125,3573432
2025-01-10 09:30:00-05:00,237.4250030517578,240.14999389648438,235.8000030517578,239.96499633789062,13137403
2025-01-10 11:30:00-05:00,235.57000732421875,235.89999389648438,233.0,233.77000427246094,7179671
2025-01-10 13:30:00-05:00,236.8300018310547,237.5850067138672,236.41000366210938,237.1199951171875,3175363
2025-01-10 15:30:00-05:00,236.92999267578125,237.2899932861328,235.77000427246094,235.9949951171875,5097626
2025-01-13 09:30:00-05:00,230.3800048828125,233.58999633789062,229.72000122070312,233.5,13314474
2025-01-13 11:30:00-05:00,232.32000732421875,232.52999877929688,230.39999389648438,230.7324981689453,4160495
2025-01-13 13:30:00-05:00,233.55999755859375,233.97000122070312,233.25,233.3800048828125,2678525
2025-01-13 15:30:00-05:00,234.39999389648438,234.6699981689453,233.65499877929688,233.69000244140625,4579852
2025-01-14 09:30:00-05:00,235.61000061035156,236.1199951171875,234.25999450683594,234.75,6863540
2025-01-14 11:30:00-05:00,233.3249969482422,234.47630310058594,232.84500122070312,234.19000244140625,3080840
2025-01-14 13:30:00-05:00,234.25869750976562,234.9199981689453,233.72000122070312,234.0399932861328,2448410
2025-01-14 15:30:00-05:00,233.27999877929688,233.44000244140625,232.5399932861328,233.27999877929688,4851942
2025-01-15 09:30:00-05:00,237.92010498046875,238.38999938964844,234.42999267578125,234.63999938964844,8599650
2025-01-15 11:30:00-05:00,237.11990356445312,237.5800018310547,236.5023956298828,237.39999389648438,2959584
2025-01-15 13:30:00-05:00,237.5601043701172,237.75999450683594,237.25999450683594,237.52000427246094,1908254
2025-01-15 15:30:00-05:00,237.85000610351562,238.47000122070312,237.38999938964844,237.6199951171875,4684385
2025-01-16 09:30:00-05:00,232.8179931640625,238.00999450683594,232.71060180664062,237.49000549316406,10445774
2025-01-16 11:30:00-05:00,230.9199981689453,231.10000610351562,229.75,230.59950256347656,8412063
2025-01-16 13:30:00-05:00,229.1750030517578,229.39999389648438,228.55999755859375,229.18499755859375,5844721
2025-01-16 15:30:00-05:00,228.24000549316406,229.2917938232422,228.02999877929688,229.00999450683594,9428473
2025-01-17 09:30:00-05:00,230.38499450683594,232.2899932861328,229.72000122070312,231.30999755859375,25704386
2025-01-17 11:30:00-05:00,230.25909423828125,231.32000732421875,229.49000549316406,231.2899932861328,5636022
2025-01-17 13:30:00-05:00,229.17999267578125,229.9499969482422,228.47999572753906,229.9102020263672,4996598
2025-01-17 15:30:00-05:00,229.99000549316406,230.02000427246094,229.22999572753906,229.44000244140625,5430152
2025-01-21 09:30:00-05:00,221.77029418945312,224.4199981689453,220.8000030517578,224.0,25254424
2025-01-21 11:30:00-05:00,220.36000061035156,220.77000427246094,219.3800048828125,220.08999633789062,9451785
