Date,Close,High,Low,Open,Volume
2024-07-01,253.4650115966797,256.6999968277493,251.803018008409,255.38422926073724,5871700
2024-07-02,253.44522094726562,254.96873007021694,251.338036619233,252.31743534113028,5130600
2024-07-03,258.15423583984375,258.4213322347438,254.1871886724578,254.22676857227853,4755700
2024-07-05,260.3702087402344,262.9621334685013,258.5202485803164,259.9052430697778,6562100
2024-07-08,254.6126251220703,260.02402270783006,254.43456082338412,258.57967307855813,6539300
2024-07-09,250.1142120361328,254.64229433245652,248.78650876034465,253.7406390002757,7014900
2024-07-10,250.27276611328125,252.46249849155237,243.85221708661274,248.89551841073276,8947700
2024-07-11,248.8162384033203,253.0767935373784,248.6180762126491,250.2826718756605,5341800
2024-07-12,251.64013671875,252.94801946953103,247.3994016996467,249.31168905037885,4705500
2024-07-15,250.540283203125,254.0379131749603,249.80706646112677,253.67128212575196,4404300
2024-07-16,253.6811981201172,254.4243176744554,250.35202191192968,251.45183945710252,4780400
2024-07-17,248.91534423828125,253.2254439971932,247.3201135472447,251.6698396995035,5625300
2024-07-18,245.08084106445312,250.13404508630188,243.46578968882605,249.82689141533618,6351600
2024-07-19,245.35826110839844,246.70578514943753,242.9208223581344,246.3688928000734,4468900
2024-07-22,251.74908447265625,253.23532354691474,245.7248602774051,246.46797981453437,5647600
2024-07-23,253.7109375,254.96927580487193,251.4221315490454,254.23607414161268,3905500
2024-07-24,247.48854064941406,253.5623094460964,246.61660884832511,251.30322716037176,5204100
2024-07-25,254.16668701171875,261.6573295174848,249.41073407516012,252.4030329741427,7155800
2024-07-26,260.2999267578125,262.0635960774059,254.71168305209508,255.80159785355485,6127300
2024-07-29,256.21771240234375,263.63899006561377,256.1483473197158,260.29991101398406,5101400
2024-07-30,255.5637969970703,258.35793416530106,252.7795777669732,257.23829571038203,3944300
2024-07-31,256.4257507324219,259.42795223299174,253.00741925460576,253.85951508070647,4647700
2024-08-01,250.73846435546875,260.94396165652313,247.4489293827774,257.5157116268895,5527400
2024-08-02,241.73184204101562,245.72486996849923,238.90798164103253,245.5167898376221,6504500
2024-08-05,236.81735229492188,239.60158647182513,230.07974658060272,230.18873806168295,6899300
2024-08-06,236.23277282714844,241.61296677358075,235.84635122692572,238.87827687772065,5673900
2024-08-07,237.837890625,244.26835746307742,237.4613869874191,240.38432096152468,4035500
2024-08-08,246.83457946777344,247.14173312268392,240.84999680884454,241.0085326045421,4474300
2024-08-09,250.2133331298828,250.62947830973567,246.1707605157023,246.41846705981527,2975300
2024-08-12,249.0045166015625,251.75901208091705,246.7355313770436,250.2826907978169,3679700
2024-08-13,252.2643280029297,253.43349552951375,250.67900021491758,250.67900021491758,4031600
2024-08-14,252.9777374267578,255.3457961787807,251.53112460948267,253.04708739480688,4145200
2024-08-15,260.3791809082031,260.4782695587321,253.88925226868872,255.53402710711555,5167900
2024-08-16,260.4981384277344,261.1818109734467,257.29775868820576,259.34877632534284,3494900
2024-08-19,262.9454345703125,262.95535250732274,259.22983670500196,260.68635227770824,4501300
2024-08-20,259.4378967285156,263.06432380381614,258.63533002405535,262.51938155576465,5731300
