Date,Close,High,Low,Open,Volume
2024-07-01,320.96270751953125,327.01954946504355,317.34422887943106,326.84396682886205,2950200
2024-07-02,319.6752624511719,321.947776018429,317.5490131659551,319.90933292613437,2119800
2024-07-03,322.4549560546875,323.2352406213984,320.162946412307,320.162946412307,1352200
2024-07-05,320.250732421875,325.2151759270785,318.5731577592967,323.39130720537116,2280900
2024-07-08,320.9432067871094,325.03961898023715,319.07058332411225,322.2111283034134,1913400
2024-07-09,318.0172119140625,321.97706321023344,317.7928745125739,320.4360495062041,1896100
2024-07-10,320.3775634765625,320.3775634765625,313.7062858108624,318.056264950274,2904400
2024-07-11,322.962158203125,326.1807465640267,321.1772813868615,321.86002668272005,3016400
2024-07-12,327.31219482421875,329.8870897804979,325.205470704941,326.6879968063692,2451300
2024-07-15,337.2410583496094,339.3185234963637,329.50667072877,330.7356004808932,3394300
2024-07-16,351.68572998046875,353.3438087875843,336.74364382159797,338.2748947502602,4637000
2024-07-17,348.9742736816406,353.7436682273399,347.4137640755476,350.1154268400293,3061000
2024-07-18,347.2479248046875,360.12233668572,346.9748326624746,347.7063326610603,3876300
2024-07-19,339.05523681640625,347.69667854861973,338.1384208169173,346.58481368072444,3462700
2024-07-22,340.6710205078125,341.5132388304774,334.3153369844737,340.7983350124274,2659600
2024-07-23,337.04754638671875,341.4446179872467,334.31527600354855,338.5752603913663,2027800
2024-07-24,329.0858459472656,337.6841474953821,328.5080592581114,335.8528508955469,2835800
2024-07-25,337.1748962402344,340.99421187708714,327.0391074862253,328.5668217865527,3291300
2024-07-26,343.2270202636719,345.6361035509738,339.7015143029656,341.4251016362073,1894900
2024-07-29,337.4001159667969,344.1083644847437,336.02909427144306,342.93318595385097,2190300
2024-07-30,334.6482849121094,338.5655070087577,331.6124318100003,336.5481400198664,1970800
2024-07-31,339.0356140136719,343.7264663659281,333.7963230248616,338.20319826826614,2568100
2024-08-01,324.65936279296875,342.5904448909134,321.2905493348241,339.13349752024,3747900
2024-08-02,314.22979736328125,316.7074394483801,311.08623461258316,316.0708967566739,4246700
2024-08-05,310.2439880371094,313.9457618415669,300.6957588707036,302.60541665839827,4681300
2024-08-06,319.6845397949219,325.29597194626473,304.0744052933283,307.55092840748466,5071700
2024-08-07,319.0577087402344,328.2435987893897,317.73567027049023,326.608175398004,3011700
2024-08-08,329.2033386230469,329.4677403475949,320.83025871331023,323.1708131905004,2268300
2024-08-09,331.2598876953125,331.49491145157066,325.5995031058496,329.0466477037747,1668100
2024-08-12,329.0760803222656,332.81703512279785,326.69637473686305,331.2599427069405,2127600
2024-08-13,331.78875732421875,332.4938586196621,326.8237001667615,330.20228688098075,1503800
2024-08-14,330.6037292480469,334.7168241667188,327.67561546321116,332.5721428016153,1610900
2024-08-15,338.4871826171875,340.44579370544056,333.7375447509672,337.3707599515872,3232600
2024-08-16,336.3719177246094,338.6830647291396,333.7082051429255,338.10527797800705,2483800
2024-08-19,337.51763916015625,338.93764410876383,336.1955707400789,336.5677116168744,2252600
2024-08-20,336.1955871582031,339.0062192227199,334.74623405489297,337.86041856642225,1479500
2024-08-21,335.8724670410156,338.44804573645877,334.77564947171,337.4491348253832,1433200
2024-08-22,335.2750549316406,337.99755322321,334.69726820696656,335.9018248685291,2021400
2024-08-23,341.1998291015625,342.30644908619837,335.9703413752048,337.8310158276042,2183900
2024-08-26,343.8929443359375,347.07568740871415,341.71888479539945,342.57087585157734,1718100
2024-08-27,343.853759765625,344.4413490725436,339.9169622155275,343.09970525146684,1210800
2024-08-28,340.99420166015625,347.09525605942105,338.6830250404253,343.3347263646708,1514500
2024-08-29,344.3630065917969,349.08323647375994,340.29886478448657,343.95168512450556,1664500
2024-08-30,348.7307434082031,348.86783065668175,342.590477935472,345.2933710578622,2974100
