Date,Close,High,Low,Open,Volume
2024-07-01,501.7793884277344,503.6684622749848,490.3355617817053,502.0478560452752,10328200
2024-07-02,506.5716857910156,507.5659383637164,496.57945957224564,497.88192801510917,7739500
2024-07-03,507.02899169921875,508.34141226916296,503.11163445819557,503.459628898402,6005600
2024-07-05,536.806884765625,537.7613890905714,508.659626943001,508.659626943001,21354100
2024-07-08,526.2777709960938,539.6902282867122,523.6231336593002,539.2328502639116,14917500
2024-07-09,526.9539184570312,534.3909090570122,525.1543235402414,530.6823659932838,8753200
2024-07-10,531.6168823242188,535.782802810221,525.3232468812585,527.7392732226358,10983300
2024-07-11,509.75323486328125,532.3824299623878,505.44810483400823,527.838689058538,16458300
2024-07-12,496.00274658203125,505.1697559706881,491.3894306970728,494.8991408562319,19750500
2024-07-15,493.3083190917969,503.7678443636743,490.53434614881763,495.7641239558454,12539200
2024-07-16,486.9749755859375,501.05359564218975,482.9979652991605,498.61766470466665,14075800
2024-07-17,459.334716796875,476.4159983287152,456.4812168894572,476.4159983287152,28076600
2024-07-18,473.11505126953125,476.48555141727223,461.8700580864728,472.2699305884637,19267200
2024-07-19,474.0497131347656,483.9126820908743,472.97590331818924,473.32389780212014,15149400
2024-07-22,484.5986633300781,489.23188362973013,481.1187795736259,483.78336899644364,12023100
2024-07-23,485.88128662109375,492.3737546328562,484.9168604229217,487.024670998181,9455500
2024-07-24,458.61883544921875,473.56244917033604,457.93279880328066,469.5953914420506,17649700
2024-07-25,450.8040771484375,460.88578278239254,440.10590941212183,460.5974713733936,18240500
2024-07-26,463.0234375,467.0700224305545,456.7795325266989,461.5320586336811,14222400
2024-07-29,463.0333251953125,471.23590835425637,462.34728854009927,467.1793714880281,11339600
2024-07-30,460.5278625488281,470.0130408141906,454.07517290776104,464.315962513696,11390400
2024-07-31,472.1009521484375,473.76136735309956,464.06740443244325,468.31285214220173,24285800
2024-08-01,494.8792724609375,524.1401187856688,489.27170365366396,518.0055973214868,43083100
2024-08-02,485.33447265625,498.2696781877349,473.4133634987111,486.18951531730556,24044700
2024-08-05,472.99578857421875,480.7012460328518,448.2090488117456,448.7559059334732,21396200
2024-08-06,491.2502136230469,499.6715335038331,475.8989526100752,476.24694705318433,20955000
2024-08-07,486.1099548339844,507.2179163887547,484.06176673048657,500.2382746300819,20105300
2024-08-08,506.7008972167969,507.028987185273,491.87658907027446,494.6406097563313,16156800
2024-08-09,514.794189453125,515.3609207187151,502.7935532579475,504.7919803564355,13696600
2024-08-12,512.984619140625,515.0427292166193,506.1739830538234,513.8893622667638,9767400
2024-08-13,525.5021362304688,528.4451451504856,515.1719000211043,517.0211949017895,13743800
2024-08-14,523.7324829101562,530.9308616621455,520.1233412991648,525.0249990881922,11444200
2024-08-15,534.2417602539062,536.667738996692,523.6728503857054,528.7335620768248,13482100
2024-08-16,524.3887329101562,530.5928599406125,521.6445857964466,528.8430261939557,14776700
2024-08-19,526.238037109375,528.6043024311272,519.7554908387405,523.8418543972291,9879700
2024-08-20,523.70263671875,528.0376240435813,522.8575463080886,525.3133210272216,7944400
2024-08-21,532.0841064453125,536.299787744821,523.9014283237659,524.1201954153424,13423300
2024-08-22,528.872802734375,541.1020981439891,525.5520328797932,533.9136709320021,15708300
2024-08-23,524.96533203125,536.7671046219766,522.0422271868836,533.834047542885,11323900
2024-08-26,518.1248779296875,524.9653402482775,511.99035675969463,524.5676149591942,9584000
2024-08-27,516.116455078125,520.9982688988101,512.3482599012927,515.9971496313474,6282700
2024-08-28,513.8098754882812,518.0951016645886,509.5047448414531,514.6947141610383,9106100
2024-08-29,515.2415161132812,524.169945083232,512.7161365376401,516.0667627034325,8317400
2024-08-30,518.3138427734375,520.5310067478107,512.2389736903795,518.3535910327766,9157500
2024-09-03,508.81866455078125,522.4697318344816,505.69669716450665,516.6533790353354,12459100
2024-09-04,509.79302978515625,513.6209384157157,501.17287738796614,503.161382437288,8335200
2024-09-05,513.889404296875,518.6320088026798,508.212230225459,508.7789615116668,8640900
2024-09-06,497.3946838378906,521.5649898617991,495.38630472485954,518.8804959933531,14744500
2024-09-09,501.88873291015625,508.3911224777812,499.1942867622704,503.25085399381305,11047800
2024-09-10,501.88873291015625,511.22474819910406,497.1560812540827,505.23935901338297,9899000
2024-09-11,508.8882751464844,510.1708694464899,492.75157549409465,504.096000860634,10782500
2024-09-12,522.5791015625,523.6827679826088,512.2587555239991,514.07825463183,11970500
2024-09-13,521.604736328125,524.5477455442109,514.1378904204591,517.3493672277767,10321400
