Date,Close,High,Low,Open,Volume
2024-07-01,475.5205078125,489.22904348182476,473.8285918393931,487.1525731473319,4523100
2024-07-02,478.9716491699219,479.1927649848065,474.3092357740449,475.1455857343383,3312000
2024-07-03,470.944580078125,478.8178225880521,467.7048828808752,477.89495672189474,2239200
2024-07-05,469.1372985839844,470.73310526437507,465.7630307073079,470.089003128738,3499000
2024-07-08,470.41583251953125,474.7802660734779,467.3684418281639,470.27163931191365,3450600
2024-07-09,473.0787353515625,476.2415101947016,467.2915559116175,469.44491954743347,3056800
2024-07-10,481.5576171875,482.10558072101486,471.16567271974606,471.9539680482365,3189800
2024-07-11,484.8549499511719,489.05597426310794,478.45253691395004,478.45253691395004,3535100
2024-07-12,491.7477111816406,494.67015414198585,483.96095483994714,487.3160067838115,3570600
2024-07-15,495.4392395019531,510.30138049072883,493.92994861949387,503.966207848735,5128000
2024-07-16,527.6437377929688,528.65311977531,506.74449059619104,513.2526955302893,11062000
2024-07-17,551.1098022460938,551.4269980435329,529.9797860105103,532.5753817358735,10330800
2024-07-18,542.5154418945312,559.0117915603115,539.7083241003713,542.6692284364503,6834800
2024-07-19,543.4671630859375,547.8604357597648,539.8236951733635,545.1879177798318,4290400
2024-07-22,536.93017578125,542.4289398834395,535.5362394333936,541.2753353653941,3377300
2024-07-23,533.2482299804688,537.2281388227071,531.4313074210002,537.1800255210613,2785600
2024-07-24,538.1029052734375,539.429541515926,531.6331919323604,538.3432370757034,3156200
2024-07-25,538.0355834960938,547.8507550252792,536.9781470789335,540.2658695715946,3102900
2024-07-26,547.6873168945312,556.7334389137371,538.3432444581764,538.3432444581764,3201900
2024-07-29,544.8321533203125,549.254234667833,540.0351403085051,543.8323942236323,2965000
2024-07-30,554.0418090820312,557.0219004026525,544.1016584476984,544.9764991956894,4139100
2024-07-31,553.8782958984375,558.4350364601089,540.5735592954935,543.572895693834,4713200
2024-08-01,550.619384765625,564.7797152765523,545.1686174378988,554.8780571096335,3680800
2024-08-02,567.0195922851562,568.6634241104482,553.0034264301477,559.8096388766797,5094000
2024-08-05,547.9180908203125,564.126053886062,544.8418319398917,559.6078041562024,4587400
2024-08-06,546.370361328125,555.1857751383039,540.7754879341619,546.2358200955352,3216500
2024-08-07,544.1880493164062,549.5426481874764,535.4880509862915,544.6975221574137,4320700
2024-08-08,544.3418579101562,550.3117204358663,542.5441808934704,542.5441808934704,2860800
2024-08-09,537.151123046875,544.0438217101755,536.0648187637431,542.707563000872,2976700
2024-08-12,543.4287109375,546.9952564920239,539.3526924036237,540.5735969014197,2532400
2024-08-13,552.0325927734375,553.4649610972692,546.9952469870375,547.9469516491934,2369400
2024-08-14,557.2525634765625,558.6464997562779,551.1001041390149,552.9938907014637,2344400
2024-08-15,557.19482421875,560.7806144442877,551.3307519800989,557.2525015016801,2751800
2024-08-16,555.3395385742188,559.1560384039082,551.8979704673629,558.4542295875054,2728900
2024-08-19,556.3970947265625,560.7422546287906,554.7532037674007,555.724153818877,1847900
2024-08-20,558.1947021484375,561.2324705012221,553.2438432437716,557.4255933935208,1677500
2024-08-21,555.7144165039062,560.8286842024837,555.0991530195461,559.0213843888979,2844300
2024-08-22,556.3392333984375,560.4056872390878,548.5525067669865,556.848764964013,2282000
2024-08-23,561.9053344726562,562.5782752037903,556.079694366971,558.5310668324038,2376400
2024-08-26,564.424072265625,569.1922765424484,563.0878133078894,565.308476905563,1800000
2024-08-27,564.635498046875,569.4325699817813,561.2036116338135,566.6735069829543,1581900
2024-08-28,565.779541015625,569.9132952942653,561.2901590091299,566.231395351908,1657000
2024-08-29,568.6923217773438,569.6920809126026,561.770754408906,567.8367265129301,1953200
2024-08-30,567.3753051757812,570.3169639571017,563.9049281880485,567.1830280076076,2944700
2024-09-03,575.5272827148438,577.4306915358318,568.9325931024475,569.6055337857987,3175500
2024-09-04,580.8146362304688,584.4292357384277,574.758286860103,576.7962957444197,2935000
2024-09-05,572.4607543945312,582.5643131743448,566.8658227616878,580.8243131998078,2144800
2024-09-06,573.7969970703125,577.3827288331312,569.3556699978096,572.826047187947,2926400
2024-09-09,571.1244506835938,576.2963955744194,553.0227022404582,575.181281869315,3411400
2024-09-10,575.8638305664062,581.410648320551,568.2885679338722,572.1915538141066,2863500
2024-09-11,566.942626953125,568.5288400533292,556.5794932045842,566.3562315353755,3563600
2024-09-12,565.6641235351562,567.6733231607648,560.6556464729262,565.7699141179023,3395800
2024-09-13,571.3359985351562,574.5660439016943,564.5201627510843,568.2213077406548,2241900
2024-09-16,568.3646240234375,577.6742917956476,567.0332835324367,574.0179632777931,2548600
2024-09-17,557.578857421875,566.0298955880409,556.0642147879537,565.3449706913425,3416000
2024-09-18,560.1740112304688,563.9075350349754,552.1280866615132,556.5176239143686,2988300
2024-09-19,556.72021484375,564.2065756822559,554.318031606628,563.135673963128,2945700
2024-09-20,554.7232055664062,558.4278177520179,549.5618914677397,551.5395885110225,5398700
2024-09-23,553.1892700195312,558.9969998567591,551.8290181036236,556.1606735272775,2386100
2024-09-24,554.906494140625,556.9517297203126,546.0405680740049,550.6906025924453,3188500
2024-09-25,555.9869995117188,560.6177205160585,552.8709210870699,557.4919853101994,2658800
2024-09-26,554.5399169921875,556.2667732941255,550.7774229088774,554.7232191938424,2751900
2024-09-27,561.3316650390625,566.0203271425139,556.2572027158136,557.308732069468,2986200
2024-09-30,564.0618286132812,565.7404598058404,558.3312945073794,562.9234472169803,3009700
2024-10-01,562.7305297851562,567.9401280415799,560.2897781821201,564.3705928572019,2648400
2024-10-02,571.4227294921875,583.2021762540744,563.6469603449237,582.9513354940325,3667000
2024-10-03,571.8472900390625,572.3103444976476,563.7627972803102,569.7827407731783,2645800
2024-10-04,570.3519897460938,575.1081316168771,567.6893087091529,571.249187246312,2462600
2024-10-07,562.9813842773438,571.5482453751409,562.7595138215289,568.0269351313409,2591100
2024-10-08,561.0712280273438,568.4321690563628,559.122442295831,567.3226990070166,2231400
2024-10-09,570.3712158203125,571.8955152574226,560.1353805226494,561.6307096146805,2207700
2024-10-10,576.6227416992188,577.8286617467398,571.8569433161031,574.1915880409156,2143200
2024-10-11,576.9602661132812,580.3079301480699,575.1755283352494,575.4552805352965,1909700
2024-10-14,584.05126953125,587.1673483506395,576.3140670205208,577.9830416625612,2447100
2024-10-15,536.6730346679688,549.6101790036165,523.8517128388442,532.5536514784117,11939400
2024-10-16,551.1923217773438,555.8616112939627,535.5442723971328,537.3676376670213,5103900
2024-10-17,546.0696411132812,549.3882770017253,539.0173632018694,540.8118172242316,5588700
2024-10-18,549.5232543945312,550.8160265325386,543.1849318597318,546.8605736347639,3687000
2024-10-21,551.317626953125,558.8522712756837,548.6453484028696,549.5522025542585,3018000
2024-10-22,549.7644653320312,552.8323188716724,545.5485735500841,547.8253364714055,2593800
2024-10-23,544.7285766601562,553.8935691226433,540.2521872623921,551.9544402435403,2911900
2024-10-24,541.0336303710938,551.5396202530287,540.5512623384923,545.0662200577036,2590200
2024-10-25,544.6513671875,551.3466375473242,543.7348561884176,546.1949212723022,2513700
2024-10-28,545.307373046875,548.2884332271734,542.9630716077571,546.2817658385391,1826500
2024-10-29,542.3070678710938,547.661341047372,540.8888752915482,542.9727380854082,2600300
2024-10-30,543.1078491210938,550.1986358124531,541.1687201635956,541.4581292133375,2323600
2024-10-31,544.593505859375,548.4042250728639,541.1011660328685,541.1011660328685,2490000
2024-11-01,547.5455322265625,550.2178696447043,544.0146245657378,545.1915741584096,2548300
2024-11-04,538.100830078125,548.5392809068492,535.8336650957058,546.7544839356493,2656600
2024-11-05,547.0343017578125,548.6839626913584,534.8496809347594,538.5928614582286,2608100
