datetime,close,return_1bar,direction_1bar,price_end_1bar,return_2bar,direction_2bar,price_end_2bar,return_4bar,direction_4bar,price_end_4bar
2025-01-06 09:30:00-05:00,368.7200012207031,-0.006264909825738107,down,366.4100036621094,-0.011756865482551754,down,364.385009765625,-0.013343494823838882,down,363.7999877929688
2025-01-06 11:30:00-05:00,366.4100036621094,-0.005526579177002368,down,364.385009765625,-0.006522787654677379,down,364.0199890136719,-0.006550022850079078,down,364.010009765625
2025-01-06 13:30:00-05:00,364.385009765625,-0.0010017446990695609,down,364.0199890136719,-0.0016055050481700204,down,363.7999877929688,0.0026480364430384786,up,365.3499145507813
2025-01-06 15:30:00-05:00,364.0199890136719,-0.0006043657693061612,flat,363.7999877929688,-2.741401117535938e-05,flat,364.010009765625,-0.0028295115938212676,down,362.989990234375
2025-01-07 09:30:00-05:00,363.7999877929688,0.0005773006588876314,flat,364.010009765625,0.004260381555302668,up,365.3499145507813,-0.014183544028780295,down,358.6400146484375
2025-01-07 11:30:00-05:00,364.010009765625,0.0036809558781612374,up,365.3499145507813,-0.002802174401486266,down,362.989990234375,-0.016455648447167476,down,358.0199890136719
2025-01-07 13:30:00-05:00,365.3499145507813,-0.006459353683736232,down,362.989990234375,-0.018365680776452387,down,358.6400146484375,-0.011317693116131698,down,361.2149963378906
2025-01-07 15:30:00-05:00,362.989990234375,-0.011983734270823315,down,358.6400146484375,-0.013691840971962063,down,358.0199890136719,-0.005316930845765456,down,361.05999755859375
2025-01-08 09:30:00-05:00,358.6400146484375,-0.001728824474238924,down,358.0199890136719,0.007179850502675478,up,361.2149963378906,-0.008866894555747335,down,355.4599914550781
2025-01-08 11:30:00-05:00,358.0199890136719,0.00892410318491111,up,361.2149963378906,0.00849116987377424,up,361.05999755859375,-0.02078096941431428,down,350.5799865722656
2025-01-08 13:30:00-05:00,361.2149963378906,-0.0004291039432700762,flat,361.05999755859375,-0.015932353144688122,down,355.4599914550781,-0.023739273774314305,down,352.6400146484375
