datetime,close,return_1bar,direction_1bar,price_end_1bar,return_2bar,direction_2bar,price_end_2bar,return_4bar,direction_4bar,price_end_4bar
2025-01-06 09:30:00-05:00,136.1199951171875,-0.0049955384967200105,down,135.44000244140625,-0.00859534389446639,down,134.9499969482422,-0.020202762993287566,down,133.3699951171875
2025-01-06 11:30:00-05:00,135.44000244140625,-0.0036178786498180077,down,134.9499969482422,-0.0017720428886428376,down,135.1999969482422,-0.01912283144716498,down,132.85000610351562
2025-01-06 13:30:00-05:00,134.9499969482422,0.0018525380189218035,up,135.1999969482422,-0.011708053847979492,down,133.3699951171875,-0.019785092473691167,down,132.27999877929688
2025-01-06 15:30:00-05:00,135.1999969482422,-0.013535516807409812,down,133.3699951171875,-0.017381589480554467,down,132.85000610351562,-0.028994069951391952,down,131.27999877929688
2025-01-07 09:30:00-05:00,133.3699951171875,-0.0038988455627892845,down,132.85000610351562,-0.008172725334006977,down,132.27999877929688,-0.020605830123003897,down,130.62179565429688
2025-01-07 11:30:00-05:00,132.85000610351562,-0.004290608189920632,down,132.27999877929688,-0.011817894257343227,down,131.27999877929688,-0.016409543352761822,down,130.6699981689453
2025-01-07 13:30:00-05:00,132.27999877929688,-0.0075597218720001216,down,131.27999877929688,-0.012535554432281453,down,130.62179565429688,-0.007552108626706665,down,131.281005859375
2025-01-07 15:30:00-05:00,131.27999877929688,-0.005013735002439686,down,130.62179565429688,-0.004646561669893623,down,130.6699981689453,-0.003656274619152105,down,130.8000030517578
2025-01-08 09:30:00-05:00,130.62179565429688,0.00036902351867838416,flat,130.6699981689453,0.005046709102229678,up,131.281005859375,0.0007518313916473822,flat,130.72000122070312
2025-01-08 11:30:00-05:00,130.6699981689453,0.0046759600443225385,up,131.281005859375,0.0009949099612323758,flat,130.8000030517578,-0.0096425692545497,down,129.41000366210938
2025-01-08 13:30:00-05:00,131.281005859375,-0.0036639177500850805,down,130.8000030517578,-0.00427331155028481,down,130.72000122070312,-0.006672763316701598,down,130.40499877929688
2025-01-08 15:30:00-05:00,130.8000030517578,-0.0006116347797257361,flat,130.72000122070312,-0.010626906400746887,down,129.41000366210938,-0.008868529319914154,down,129.63999938964844
2025-01-10 09:30:00-05:00,130.72000122070312,-0.010021401058450079,down,129.41000366210938,-0.00240974937625965,down,130.40499877929688,-0.012125204246220263,down,129.13499450683594
2025-01-10 11:30:00-05:00,129.41000366210938,0.00768870326119023,up,130.40499877929688,0.0017772638979254131,up,129.63999938964844,-0.004791054465892876,down,128.7899932861328
2025-01-10 13:30:00-05:00,130.40499877929688,-0.005866334855331397,down,129.63999938964844,-0.009738923234149545,down,129.13499450683594,-0.012116113997506735,down,128.8249969482422
2025-01-10 15:30:00-05:00,129.63999938964844,-0.0038954403362394946,down,129.13499450683594,-0.006556665439042703,down,128.7899932861328,-0.006248052780062163,down,128.8300018310547
2025-01-13 09:30:00-05:00,129.13499450683594,-0.0026716322869775,down,128.7899932861328,-0.0024005697276530246,down,128.8249969482422,0.008827966377371783,up,130.27499389648438
2025-01-13 11:30:00-05:00,128.7899932861328,0.00027178867873381543,flat,128.8249969482422,0.00031064948371406454,flat,128.8300018310547,-0.004658675953135291,down,128.19000244140625
2025-01-13 13:30:00-05:00,128.8249969482422,3.885024592324115e-05,flat,128.8300018310547,0.011255555851670235,up,130.27499389648438,-0.0032990728649391335,down,128.39999389648438
2025-01-13 15:30:00-05:00,128.8300018310547,0.011216269850904945,up,130.27499389648438,-0.004967782197874382,down,128.19000244140625,-0.009469853321146516,down,127.61000061035156
2025-01-14 09:30:00-05:00,130.27499389648438,-0.016004540800323083,down,128.19000244140625,-0.014392631647251216,down,128.39999389648438,0.017463130008519855,up,132.5500030517578
2025-01-14 11:30:00-05:00,128.19000244140625,0.0016381266173554289,up,128.39999389648438,-0.004524548092740678,down,127.61000061035156,0.02613301178660788,up,131.5399932861328
2025-01-14 13:30:00-05:00,128.39999389648438,-0.006152595978857307,down,127.61000061035156,0.0323209451132775,up,132.5500030517578,0.030919014092039024,up,132.3699951171875
2025-01-14 15:30:00-05:00,127.61000061035156,0.03871171865667653,up,132.5500030517578,0.03079690194329843,up,131.5399932861328,0.03847663692990439,up,132.52000427246094
2025-01-15 09:30:00-05:00,132.5500030517578,-0.0076198396255835145,down,131.5399932861328,-0.0013580379511573713,down,132.3699951171875,-0.007695241410614292,down,131.52999877929688
2025-01-15 11:30:00-05:00,131.5399932861328,0.006309881963040877,up,132.3699951171875,0.007450289161839569,up,132.52000427246094,0.0054736297510441555,up,132.25999450683594
2025-01-15 13:30:00-05:00,132.3699951171875,0.0011332564841498559,up,132.52000427246094,-0.006345821325648415,down,131.52999877929688,-0.003097291066282421,down,131.9600067138672
2025-01-15 15:30:00-05:00,132.52000427246094,-0.007470611690659265,down,131.52999877929688,-0.0019620416332799106,down,132.25999450683594,-0.003244853008653824,down,132.08999633789062
2025-01-16 09:30:00-05:00,131.52999877929688,0.005550032192762139,up,132.25999450683594,0.003269276503924037,up,131.9600067138672,0.01741054182448854,up,133.82000732421875
2025-01-16 11:30:00-05:00,132.25999450683594,-0.0022681672873746035,down,131.9600067138672,-0.0012853332527284057,down,132.08999633789062,0.014403439123070688,up,134.1649932861328
2025-01-16 13:30:00-05:00,131.9600067138672,0.0009850683344181535,flat,132.08999633789062,0.014095184265825761,up,133.82000732421875,0.020877458956160586,up,134.71499633789062
2025-01-16 15:30:00-05:00,132.08999633789062,0.013097214280350943,up,133.82000732421875,0.0157089636291175,up,134.1649932861328,0.02293889668636251,up,135.1199951171875
2025-01-17 09:30:00-05:00,133.82000732421875,0.002577984927756217,up,134.1649932861328,0.006688006013207712,up,134.71499633789062,0.0055671430011397915,up,134.56500244140625
2025-01-17 11:30:00-05:00,134.1649932861328,0.004099452758029246,up,134.71499633789062,0.00711811484995912,up,135.1199951171875,-0.015466008661565353,down,132.08999633789062
2025-01-17 13:30:00-05:00,134.71499633789062,0.003006337752339477,up,135.1199951171875,-0.0011134164759813525,down,134.56500244140625,-0.020079441076255776,down,132.00999450683594
2025-01-17 15:30:00-05:00,135.1199951171875,-0.004107405978662991,down,134.56500244140625,-0.02242450332142925,down,132.08999633789062,-0.015319657639377616,down,133.0500030517578
2025-01-21 09:30:00-05:00,134.56500244140625,-0.01839264339621529,down,132.08999633789062,-0.018987165222865744,down,132.00999450683594,-0.003381279105262227,down,134.11000061035156
2025-01-21 11:30:00-05:00,132.08999633789062,-0.000605661543437704,flat,132.00999450683594,0.007267823003124766,up,133.0500030517578,0.008857583476287016,up,133.25999450683594
2025-01-21 13:30:00-05:00,132.00999450683594,0.0078782561033136,up,133.0500030517578,0.015907932663438443,up,134.11000061035156,0.0029474974417456026,up,132.3990936279297
2025-01-21 15:30:00-05:00,133.0500030517578,0.007966911193390954,up,134.11000061035156,0.001578289742664915,up,133.25999450683594,-0.0038332187442836883,down,132.5399932861328
2025-01-22 09:30:00-05:00,134.11000061035156,-0.006338126162457235,down,133.25999450683594,-0.012757489930917314,down,132.3990936279297,-0.00566694879857659,down,133.35000610351562
2025-01-22 11:30:00-05:00,133.25999450683594,-0.006460310028469105,down,132.3990936279297,-0.005402981017428982,down,132.5399932861328,-0.004014621231977229,down,132.72500610351562
2025-01-22 13:30:00-05:00,132.3990936279297,0.0010642040994561773,up,132.5399932861328,0.007182167562704084,up,133.35000610351562,0.0007621379369399718,flat,132.5
2025-01-22 15:30:00-05:00,132.5399932861328,0.006111459622863594,up,133.35000610351562,0.0013959018164683258,up,132.72500610351562,0.005734191973167371,up,133.3000030517578
2025-01-23 09:30:00-05:00,133.35000610351562,-0.004686913921209956,down,132.72500610351562,-0.006374248703489302,down,132.5,-0.02707161938597308,down,129.74000549316406
